fold,model,mae,rmse,r2,zero_mae,event_mae,event_proba_mean_zero,event_proba_mean_event
4,two_stage_expected,0.9411060812737807,1.2085287955801778,0.4356148847659421,1.1783649878062974,0.8927755632764165,0.3894967106522406,0.7706528070382288
4,two_stage_gated_30,0.9586907422088781,1.4078351985098077,0.23411214255630053,1.8839401233815862,0.7702140164144379,0.3894967106522406,0.7706528070382288
4,two_stage_gated_50,0.9226037141580703,1.3974539961669978,0.24536562248854266,0.7519084261146066,0.9573749765372946,0.3894967106522406,0.7706528070382288
5,linear_regression,1.0505260133761682,1.334322767867243,0.4700337433838625,1.473094717342853,0.8191193421563169,,
5,random_forest,1.0264511935451646,1.2584009086095775,0.5286272505871639,1.334368442364121,0.8578298430014508,,
5,gradient_boosting,1.0363025652451592,1.312819568057362,0.4869773870618286,1.437365597780279,0.8166728093330704,,
5,two_stage_expected,1.0062976704668996,1.2744678147398394,0.5165137026284647,1.1157827264350273,0.9463415683891151,0.37549466851724983,0.7522008608794297
5,two_stage_gated_30,1.0523486092493552,1.5453229893437106,0.2891712963488652,1.7022482290888614,0.6964511983848638,0.37549466851724983,0.7522008608794297
5,two_stage_gated_50,1.0298552774705874,1.5935878163695902,0.24407549022826913,0.9849429731376368,1.0544501107957744,0.37549466851724983,0.7522008608794297
6,linear_regression,0.9145152357256014,1.1443706745278392,0.4998298563386291,1.3965772436936856,0.750514758788006,,
6,random_forest,1.0002071568599105,1.2865995435804274,0.36777580825984435,1.8132197904353837,0.7236152299734091,,
6,gradient_boosting,0.9590497751983588,1.2347976879271725,0.41766091581361897,1.7007179104720116,0.706729687940312,,
6,two_stage_expected,0.9457795422409933,1.2052897629165498,0.445160643062567,1.4192718808545375,0.7846945198260761,0.49397311564854113,0.7991846094193786
6,two_stage_gated_30,0.9834722305846716,1.419940276684686,0.2299401503622267,1.9903005337126713,0.6409430140565894,0.49397311564854113,0.7991846094193786
